ID,Incident Date,District,Bias Code,Bias Code_2,Bias,Status,# of Victims,Victim Type,# of Suspects,# Suspects < 18 of age,# Suspects 18-35 of age,# Suspects 36-45 of age,# Suspects 46-55 of age,# Suspects > 55 of age,Suspect Known/Unknown
190013103,3/21/2019,1D,Anti-Black,,Assault (simple),Closed-Admin,1,Individual(s),1,,1,,,,Known
180055472,11/5/2018,1D,Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,Unknown
190026176,6/2/2019,3D,Anti-Transgender,,Other,N/A,1,Individual(s),,,,,,,Known
170515340,6/23/2017,2D,Anti-Homosexual,,Vandalism,Open,1,Individual(s),,,,,,,Unknown
170520131,7/20/2017,4D,Anti-Black,,Verbal Intimidation/Simple Assault,UNF,2,Individual(s),1,,1,,,,Known
170513601,6/12/2017,2D,Anti-Jewish,,Vandalism,Inactive,,Society,,,,,,,Unknown
170542522,11/13/2017,1D,Anti-Black,,Vandalism,Open,,School/College,,,,,,,Unknown
170512439,6/6/2017,1D,Anti-Other Ethnicity,,Verbal Intimidation/Simple Assault,N/A,1,Individual(s),1,,,1,,,Known
180056039,11/8/2018,2D,Anti-Black,,Written Intimidation/Simple Assault,N/A,,School/College,1,1,,,,,Known
200021658,5/11/2020,2D,Anti-Black,,Other,Open,1,Individual(s),,,,,,,Unknown
180042888,8/28/2018,4D,Anti-Other Ethnicity,,Verbal Intimidation/Simple Assault,Open,1,Individual(s),1,,,,,,Known
180064394,12/24/2018,4D,Anti-Islamic,,Vandalism,Closed-Admin,,Religious Organization,,,,,,,Unknown
170500285,3/30/2017,2D,Anti-Black,,Verbal Intimidation/Simple Assault,N/A,1,Individual(s),3,3,,,,,Known
190011926,3/15/2019,4D,Anti-Asian,,Vandalism,Open,1,Individual(s),,,,,,,Unknown
170539207,10/27/2017,6D,Anti-Homosexual,,Assault (physical),Open,1,Individual(s),1,,,,,,Unknown
170511135,6/1/2017,1D,Anti-Jewish,,Vandalism,N/A,,School/College,1,1,,,,,Known
17012598,2/27/2017,5D,Anti-Islamic,,Written Intimidation/Simple Assault,N/A,,Religious Organization,,,,,,,Unknown
170501940,4/13/2017,4D,Anti-Black,,Vandalism,Inactive,1,Individual(s),,,,,,,Unknown
16059010,11/10/2016,1D,Anti-Multi-Racial,,Written Intimidation/Simple Assault,N/A,,School/College,2,2,,,,,Known
16020540,4/26/2016,2D,Anti-Black,,Written Intimidation/Simple Assault,UNF,1,Individual(s),,,,,,,Unknown
180053615,10/26/2018,4D,Anti-Black,,Assault (physical),Open,1,Individual(s),1,,,,,,Known
170542473,11/13/2017,4D,Anti-Homosexual,Anti-Transgender,Assault (physical),Open,1,Individual(s),1,,1,,,,Known
180032468,7/1/2018,5D,Anti-Islamic,,Vandalism,Inactive,1,Individual(s),,,,,,,Unknown
180026780,5/31/2018,5D,Anti-Black,,Flyer Left Behind,Inactive,1,Individual(s),,,,,,,Unknown
200008286,2/18/2020,6D,Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,Unknown
