"","ID","District","Bias.Code","Bias","Victim.Type","Year"
"1",190013103,"1D","Anti-Black","Assault (simple)","Individual(s)",2019
"2",180055472,"1D","Anti-Jewish","Vandalism","School/College",2018
"3",190026176,"3D","Anti-Transgender","Other","Individual(s)",2019
"4",170515340,"2D","Anti-Homosexual","Vandalism","Individual(s)",2017
"5",170520131,"4D","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2017
"6",170513601,"2D","Anti-Jewish","Vandalism","Society",2017
"7",170542522,"1D","Anti-Black","Vandalism","School/College",2017
"8",170512439,"1D","Anti-Other Ethnicity","Verbal Intimidation/Simple Assault","Individual(s)",2017
"9",180056039,"2D","Anti-Black","Written Intimidation/Simple Assault","School/College",2018
"10",200021658,"2D","Anti-Black","Other","Individual(s)",2020
"11",180042888,"4D","Anti-Other Ethnicity","Verbal Intimidation/Simple Assault","Individual(s)",2018
"12",180064394,"4D","Anti-Islamic","Vandalism","Religious Organization",2018
"13",170500285,"2D","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2017
"14",190011926,"4D","Anti-Asian","Vandalism","Individual(s)",2019
"15",170539207,"6D","Anti-Homosexual","Assault (physical)","Individual(s)",2017
"16",170511135,"1D","Anti-Jewish","Vandalism","School/College",2017
"17",17012598,"5D","Anti-Islamic","Written Intimidation/Simple Assault","Religious Organization",2017
"18",170501940,"4D","Anti-Black","Vandalism","Individual(s)",2017
"19",16059010,"1D","Anti-Multi-Racial","Written Intimidation/Simple Assault","School/College",2016
"20",16020540,"2D","Anti-Black","Written Intimidation/Simple Assault","Individual(s)",2016
"21",180053615,"4D","Anti-Black","Assault (physical)","Individual(s)",2018
"22",170542473,"4D","Anti-Homosexual","Assault (physical)","Individual(s)",2017
"23",180032468,"5D","Anti-Islamic","Vandalism","Individual(s)",2018
"24",180026780,"5D","Anti-Black","Flyer Left Behind","Individual(s)",2018
"25",200008286,"6D","Anti-Jewish","Vandalism","School/College",2020
"26",180011552,"1D","Anti-Multi-Racial","Written Intimidation/Simple Assault","School/College",2018
"27",170538262,"GCPD","Anti-Black","Vandalism","School/College",2017
"28",16046525,"6D","Anti-Homosexual","Assault (physical)","Individual(s)",2016
"29",16018523,"2D","Anti-Black","Assault (physical)","Individual(s)",2016
"30",16047778,"5D","Anti-Other Ethnicity","Verbal Intimidation/Simple Assault","Individual(s)",2016
"31",170523171,"3D","Anti-Black","Vandalism","Individual(s)",2017
"32",170520886,"RCPD","Anti-Black","Physical Intimidation/Simple Assault","School/College",2017
"33",170510517,"TPPD","Anti-Catholic","Vandalism","School/College",2017
"34",170534164,"GCPD","Anti-Jewish","Vandalism","Government",2017
